Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Harper Collins Children,Mary-kate Olsen,"The cute boy thinks you're French. Go with it: wear your hair in a French twist: eat french fries: French toast. Tell him the truth - eventually. So much to do, so little time!",2004,7144563,9780007144563,SO LITTLE TIME BOY CRAZY,Rs. 850.00,Paperback,112,-
-,-,,-,-,-,South Park Guide To Life (Hardcover),"Rs. 1,900.00",-,-,-
-,-,,-,-,-,Sports Illustrated Almanac 2011 [Paperback],"Rs. 2,600.00",-,-,-
Springer London Ltd,Mark Alison,"Astronomy enthusiasts will all appreciate the detailed yet easily-assimilated description of star clusters, how they were formed as our Milky Way galaxy, how they evolved, and how they are classified. The latest research has revealed a vast amount of fascinating information about the clusters, along with some spectacular photographs. Modern commercially-made telescopes enable amateur astronomers to see a surprising amount of detail, and to record - using CCD cameras, video, webcams or even film - some remarkably beautiful and detailed images. Contained here also is detailed information on using refractors, reflectors, and, of course, Meade and Celestron's ubiquitous range of computer-controlled SCT telescopes.",-,1846281903,9781846281907,Star Clusters and How to Observe Them,"Rs. 4,200.00",Paperback,224,-
John Wiley & Sons Pte Ltd,John C Davis,"Thoroughly revised and updated, this new edition of the text that helped define the field continues to present important methods in the quantitative analysis of geologic data, while showing students how statistics and computing can be applied to commonly encountered problems in the earth sciences. In addition to new and expanded coverage of key topics, the Third Edition features new pedagogy, end-of-chapter review exercises, and an accompanying website that contains all of the data for every example and exercise found in the book. Contents same as US/UK editions.",2002,9814126454,9789814126458,"Statistics And Data Analysis In Geology, 3E","Rs. 2,050.00",-,638,-
-,-,,-,-,-,"Still Hot: The Uncensored Guide To Divorce, Dating, Sex, Spite,","Rs. 1,900.00",-,-,-
Harper Collins,Richard Carlson,"Common-sense strategies for discovering life long happiness Revolutionary in its simplicity and accessible to all, this work offers profound, short-term common sense methods that allow you to let go of depression and tap into natural joy.", 07 January 2010,7360827,9780007360826,Stop Thinking And Start Living ,"Rs. 1,015.00", Paperback,192,-
Vijitha Yapa Publications,Selvy Thiruchandran,"Needless to say, it is a much-needed one that brings together a body of important material. In many ways, you are in a unique position - you know the literary context, the social backdrop, and the theoretical framework. Your use of theory is rigorous, well-informed, and very persuasive. The overall argument is solid, and you offer a precise and clear structure to get your thoughts across.",-,9551266242,-,"Stories From The Diaspora: Tamil Women, Writing",Rs. 450.00,-,96,130x200x8mm
-,-,,-,-,-,Storm Front,"Rs. 1,100.00",-,-,-
Hachette India,Nina Godiwalla,,2011,9350094402,9789350094402,Suits: A Woman On Wall Street,"Rs. 1,475.00",Paperback,352,-
Kogan Page India Private Limited,Robert Maddux,"Team Building is an essential skill for today's managers. The ability of staff to perform as a team as well as on an individual level is vitally important for the good of the department, as well as that of the whole organisation. On order to build a cohesive team that is motivated towards common goals, managers need to develop a positive attitude and adopt a structured approach to leadershop. Managers who adopt these skills will find that their team members achieve more and that the workplace becomes more efficient and productive.",2005,8175541776,9788175541771,Sunday Times Creating Success: Team Building ,Rs. 990.00,Paperback,96,-
HarperCollins Children's Books,"Mary-kate Olsen, Ashley Olsen","The coolest twins around, Mary-Kate and Ashley, are about to turn 16 - and it's time to celebrate with the best Sweet Sixteen party ever. But could they be about to let a boyfriend ruin their fun?",2002,7148798,9780007148790,"Sweet 16, Book 01: Never Been Kissed ",Rs. 850.00,Paperback,144,-
 HarperPress,Peter Taylor,A controversial and important book by BBC reporter and terrorism expert Peter Taylor. Newly updated to mark the tenth anniversary of 9/11 and to include the death of Osama Bin Laden.,01 September 2011,7325533,9780007325535,Talking to Terrorists: Face to Face with the Enemy ,"Rs. 1,665.00",Paperback,304,5.16 x 7.76 x 0.98 inches
Harper Collins Publ. Uk,Raymond E Feist,"A sweeping new epic fantasy series from worldwide bestselling author Raymond E Feist, marking the 20th year since the first publication of his first novel, Magician. Featuring one of the most fascinating characters and scenarios ever created in the genre, The Conclave of Shadows promises to become one of the great all-time classics in the field.",2003,7161859,9780007161850,TALON OF SILVER HAWK,Rs. 900.00,Paperback,400,6.97 x 4.45 x 1.3 inches
Running Press Book Publishers,Dale Rio and Eva Bianchini,,2005-03-09,762420111,978-0762420117,Tattoo (Hardcover),"Rs. 3,090.00",Hardcover,128,27.6 x 28.1 x 1.6 cm
Ebury Press,Preeti Shenoy,"Nisha s life is far from perfect. At twenty-six, she is plump, plain-looking, and without a boyfriend. A chance date and a bizarre twist of events lead her to the altar with suave Samir Sharma, only to be abandoned eight years later. As she struggles to stand on her own feet, Akash, a younger guy, enters her life. Can Nisha find love a second time? Tea for Two and a Piece of Cake is an unusual, a heart-warming, and gripping love-story between two people who have so much to lose by getting into a relationship with each other, yet so much to gain.",2012,8184002793,9788184002799,Tea For Two And A Piece Of Cake ,Rs. 965.00,Paperback,280,-
Dorling Kindersley India,Flood J E,,1999,8178084570,9788178084572,Telecommunication Switching Traffic & Networks,Rs. 985.00,Paperback,-,-
-,-,,-,-,-,Tha Dogg: the Best of the Works,"Rs. 1,100.00",-,-,-
harper collins,Agatha Christie,"The Thirteen Problems is a short story collection written by Agatha Christie and first published in the UK by Collins Crime Club in June 1932 and in the US by Dodd, Mead and Company in 1933 under the title The Tuesday Club Murders. The thirteen stories feature her detective Miss Marple and feature the earliest stories she wrote about the detective. The Tuesday Night Club is a venue where locals challenge Miss Marple to solve recent crimes and the conversation turns to unsolved crimes! The case of the disappearing bloodstains: the thief who committed his crime twice over: the message on the death-bed of a poisoned man which read 'heap of fish': the strange case of the invisible will: a spiritualist who warned that 'Blue Geranium' meant death! Now pit your wits against the powers of deduction of the 'Tuesday Night Club'.",2002,7282664,9780007282661,The 13 Problems,"Rs. 1,180.00", Paperback,315,-
-,Brian Tracy,,-,1609946758,978-1609946753,The 21 Success Secrets of Self Made Millionaires,"Rs. 1,100.00",-,-,-
Arrow,Ben Mezrich,,2010-05-06,99534665,978-0099534662,"The Accidental Billionaires: Sex, Money, Betrayal and the Founding of Facebook ","Rs. 1,400.00",Paperback,272,13 x 1.8 x 19.9 cm
Hay House UK Ltd,Doreen Virtue,"The author has taught her Angel Therapy Practitioner[registered] course since 1997, helping thousands to learn the skills of spiritual healing and psychic readings in concert with the angels and archangels. This title covers which angels to call on and when, how to help family and friends in need and how to contact the angels to heal yourself.",02 January 2012,184850151X,9781848501515,The Angel Therapy Handbook,"Rs. 1,970.00",Paperback,272,22.6 x 15.2 x 2.3 cm
Skira Editore,"Roberto Lleras Perez, Clara Isabel Botero, Santiago Lodono",,-,8876247769,-,The Art of Gold: The Legacy of Pre-Hispanic Colombia,"Rs. 7,550.00",-,272,11.2 x 9.6 x 1 inches
-,-,,-,-,-,The Balkans,Rs. 800.00,-,-,-
TAUNTON BOOKS,ANDREW WORMER,,-,1561586005,-,THE BATHROOM IDEA BOOK ,"Rs. 1,100.00",-,169,-
-,-,,-,-,-,"The Beats: From Kerouac To Kesey, An Illustrated Journey Through","Rs. 4,170.00",-,-,-
Allen Lane,Nassim Nicholas Taleb,,2010-12-02,1846144582,978-1846144585,The Bed of Procrustes: Philosophical and Practical Aphorisms (Ha,"Rs. 2,700.00",Hardcover,128,20.4 x 13.2 x 0.8 cm
-,-,,-,-,-,The Best Of World Cafe: Great Conversations From NPR's Most Popu,"Rs. 2,850.00",-,-,-
Hay House,Anupam Kher,,2011,9381431177,9789381431177,The Best Thing About You Is You!,"Rs. 1,420.00",Hardcover,226,-
SRI SERENDIPITY,Herman Gunaratne,,-,-,9789550392056,The Betrayal : Plantation Raj,"Rs. 1,200.00",-,264,140mmX220mm
SCEPTRE,MELVYN BRAGG,,-,1444705164,-,THE BOOK OF BOOKS ,"Rs. 1,000.00",-,370,-
-,-,,-,-,-,The Book Of Cool (Hardcover),"Rs. 2,720.00",-,-,-
"Oxford University Press, Usa",K. C. Sahni,"The Book of Indian Trees brings the reader, in one title, descriptions of more than 150 species of trees that the scientist, the conservationist and the nature enthusiast would come across in India and the rest of the Subcontinent.Special Features    Fully illustrated by a well-known botanical artist    Focuses on commonly-found Indian tress    Author is an authority on trees and edited the botany section of the Encyclopedia of Indian Natural History (OUP) ",2010,195645898,9780195645897,The Book of Indian Trees ,"Rs. 1,590.00",Hardcover,260,8.5 x 5.43 x 0.83 inches
Motilal Banarsidass,Rohit Mehta,"The text, 'The Call of the Upanishads' contains a large number of inspiring and instructive passages and verses that have a bearing on the mystical teaching of the Upanishads. This includes essays in titles such as the Golden Veil, the Silent Night, the Great Beyond, the Fire of Creation, Existence Without Identity and much more interesting and knowledgeable chapters. It is mysticism which is the very core of the Upanishads. And so in understanding this mysticism one comes to the heart of the sublime and magnificent teaching of the Upanishads.",1970,8120807499,-,The Call Of The Upanishads ,Rs. 660.00,-,320,-
Cambridge University,(Edited) Rita Barnard,"Nelson Mandela was one of the most revered figures of our time. He committed himself to a compelling political cause, suffered a long prison sentence and led his violent and divided country to a peaceful democratic transition. His legacy however is not uncontested: his decision to embark on an armed struggle in the 1960s, his solitary talks with apartheid officials in the 1980s and the economic policies adopted during his presidency still spark intense debate, even after his death. The essays in this Companion, written by experts in history, anthropology, jurisprudence, cinema, literature and visual studies, address these and other issues. They examine how Mandela became an icon during his lifetime and consider the meanings and uses of his internationally recognizable image. Their overarching concerns include Mandela's relation to 'tradition' and 'modernity', the impact of his most famous public performances, the oscillation between Africanist and non - racial positions in South Africa and the politics of gender and national sentiment. The volume concludes with a meditation on Mandela's legacy in the twenty-first century and a detailed guide to further reading.",2014-04-13,1107440009,9781107440005,The Cambridge Companion to Nelson Mandela,"Rs. 1,600.00",Paperback,349,-
-,-,,-,-,-,The Cannabis Companion: The Ultimate Guide To Connoisseurship (P,"Rs. 2,700.00",-,-,-
-,-,,-,-,-,"The Cannabis Cookbook: Over 35 Tasty Recipes For Meals, Munchies","Rs. 2,330.00",-,-,-
"Little, Brown Book Group",J. K. Rowling,"When Barry Fairweather dies unexpectedly in his early forties, the little town of Pagford is left in shock. Pagford is, seemingly, an English idyll, with a cobbled market square and an ancient abbey, but what lies behind the pretty façade is a town at war. Rich at war with poor, teenagers at war with their parents, wives at war with their husbands, teachers at war with their pupils…Pagford is not what it first seems. And the empty seat left by Barry on the parish council soon becomes the catalyst for the biggest war the town has yet seen. Who will triumph in an election fraught with passion, duplicity and unexpected revelations? Blackly comic, thought-provoking and constantly surprising, The Casual Vacancy is J.K. Rowling’s first novel for adults.",2012-09-17,140870420X,9781408704202,The Casual Vacancy,"Rs. 2,750.00",Hardcover,512,-
